index,id,sentence,from,to,aspect,polarity
0,allsides_1002_402_12_former FBI director James B. Comey_51_56,"While White House officials said in the days after Comey's dismissal that it was largely the result of a memo written by Deputy Attorney General Rod J. Rosenstein criticizing the FBI director's handling of the investigation into Hillary Clinton’s use of a private email server when she was secretary of state, Trump suggested in the NBC interview that the Russian investigation played a role in his decision.",229,246,Hillary Clinton’s,negative
1,allsides_1002_402_12_former FBI director James B. Comey_51_56,"While White House officials said in the days after Comey's dismissal that it was largely the result of a memo written by Deputy Attorney General Rod J. Rosenstein criticizing the FBI director's handling of the investigation into Hillary Clinton’s use of a private email server when she was secretary of state, Trump suggested in the NBC interview that the Russian investigation played a role in his decision.",51,56,Comey,negative
2,allsides_112_45_4_Stedman Graham_0_6,Graham's comment only reinforced growing rumors that Winfrey is seriously considering a presidential bid.,0,6,Graham,neutral
3,allsides_112_45_4_Stedman Graham_0_6,Graham's comment only reinforced growing rumors that Winfrey is seriously considering a presidential bid.,53,60,Winfrey,neutral
4,allsides_115_46_35_White House adviser Stephen Miller_66_72,"""I think I've wasted enough of my viewers' time,"" Tapper said, as Miller attempted to keep talking.",66,72,Miller,negative
5,allsides_115_46_35_White House adviser Stephen Miller_66_72,"""I think I've wasted enough of my viewers' time,"" Tapper said, as Miller attempted to keep talking.",50,56,Tapper,neutral
6,allsides_1164_465_5_President Trump_31_46,Pence had been in contact with President Trump about the test.,0,5,Pence,neutral
7,allsides_1164_465_5_President Trump_31_46,Pence had been in contact with President Trump about the test.,31,46,President Trump,neutral
8,allsides_1166_466_62_Gervais_216_223,"“It may reflect any combination of genuine innumeracy [lack of math skills], incomprehension of an oddly phrased item, participant inattentiveness or jesting, sampling error, or a genuine flaw in the ... technique,” Gervais and Najle write in the paper.",216,223,Gervais,neutral
9,allsides_1166_466_62_Gervais_216_223,"“It may reflect any combination of genuine innumeracy [lack of math skills], incomprehension of an oddly phrased item, participant inattentiveness or jesting, sampling error, or a genuine flaw in the ... technique,” Gervais and Najle write in the paper.",228,233,Najle,neutral
10,allsides_1183_473_1_Assad_150_182,U.S. Ambassador to the United Nations Nikki Haley and Secretary of State Rex Tillerson on Sunday appeared to offer differing views on the future of Syrian President Bashar al-Assad.,44,49,Haley,neutral
11,allsides_1183_473_1_Assad_150_182,U.S. Ambassador to the United Nations Nikki Haley and Secretary of State Rex Tillerson on Sunday appeared to offer differing views on the future of Syrian President Bashar al-Assad.,148,180,Syrian President Bashar al-Assad,neutral
12,allsides_1183_473_22_Assad_201_206,"In a separate interview on CBS's Face the Nation, Tillerson said it was the goal of the U.S. and its allies to ""navigate a political outcome in which the Syrian people in fact will determine Bashar al-Assad's fate and his legitimacy,"" citing in part ""the United States' own founding principles are self-determination.""",50,59,Tillerson,positive
13,allsides_1183_473_22_Assad_201_206,"In a separate interview on CBS's Face the Nation, Tillerson said it was the goal of the U.S. and its allies to ""navigate a political outcome in which the Syrian people in fact will determine Bashar al-Assad's fate and his legitimacy,"" citing in part ""the United States' own founding principles are self-determination.""",201,206,Assad,negative
14,allsides_1183_473_3_Assad_237_242,"[Despite U.S. missile barrage, Syria continues airstrikes against rebels] Haley indicated in an interview on CNN's “State of the Union” that the United States does not see a peaceful political resolution for Syria's civil war as long as Assad remains in power.”",237,242,Assad,negative
15,allsides_1183_473_3_Assad_237_242,"[Despite U.S. missile barrage, Syria continues airstrikes against rebels] Haley indicated in an interview on CNN's “State of the Union” that the United States does not see a peaceful political resolution for Syria's civil war as long as Assad remains in power.”",74,79,Haley,neutral
16,allsides_1185_473_12_U.S. Ambassador to the United Nations Nikki Haley_171_173,"Tillerson conceded that removing Assad from power could ""ultimately"" require greater pressure, including military action, from the U.S. or an international coalition, but he said that isn't the preferred choice.",33,38,Assad,negative
17,allsides_1185_473_12_U.S. Ambassador to the United Nations Nikki Haley_171_173,"Tillerson conceded that removing Assad from power could ""ultimately"" require greater pressure, including military action, from the U.S. or an international coalition, but he said that isn't the preferred choice.",171,173,he,neutral
18,allsides_1197_477_133_Yazan al-Saadi_29_43,AMY GOODMAN: But last night— YAZAN AL-SAADI: He’s playing a game.,0,11,AMY GOODMAN,neutral
19,allsides_1197_477_133_Yazan al-Saadi_29_43,AMY GOODMAN: But last night— YAZAN AL-SAADI: He’s playing a game.,29,43,YAZAN AL-SAADI,neutral
20,allsides_1197_477_24_Yazan al-Saadi_70_84,"AMY GOODMAN: For more, we are going to Lebanon, where we’re joined by Yazan al-Saadi, Syrian-Canadian writer, researcher based in Beirut.",0,11,AMY GOODMAN,neutral
21,allsides_1197_477_24_Yazan al-Saadi_70_84,"AMY GOODMAN: For more, we are going to Lebanon, where we’re joined by Yazan al-Saadi, Syrian-Canadian writer, researcher based in Beirut.",70,84,Yazan al-Saadi,neutral
22,allsides_1280_512_28_Senate Minority Leader Chuck Schumer (D-N.Y.)_19_26,Bharara was once a Schumer aide.,0,7,Bharara,neutral
23,allsides_1280_512_28_Senate Minority Leader Chuck Schumer (D-N.Y.)_19_26,Bharara was once a Schumer aide.,19,26,Schumer,neutral
24,allsides_1284_514_13_Mr. Trump_125_134,"Tom Perez, labor secretary in the Obama administration and now chairman of the Democratic National Committee, countered that Mr. Trump had “absolutely nothing” to do with the job gains.",0,108,"Tom Perez, labor secretary in the Obama administration and now chairman of the Democratic National Committee",neutral
25,allsides_1284_514_13_Mr. Trump_125_134,"Tom Perez, labor secretary in the Obama administration and now chairman of the Democratic National Committee, countered that Mr. Trump had “absolutely nothing” to do with the job gains.",125,134,Mr. Trump,negative
26,allsides_1299_521_1_former president Barack Obama_46_75,President Trump on Saturday angrily accused former president Barack Obama of orchestrating a “Nixon/Watergate” plot to tap the phones at his Trump Tower headquarters last fall in the run-up to the election.,10,15,Trump,negative
27,allsides_1299_521_1_former president Barack Obama_46_75,President Trump on Saturday angrily accused former president Barack Obama of orchestrating a “Nixon/Watergate” plot to tap the phones at his Trump Tower headquarters last fall in the run-up to the election.,44,73,former president Barack Obama,negative
28,allsides_1299_521_40_Obama_118_133,"— Donald J. Trump (@realDonaldTrump) March 4, 2017 I'd bet a good lawyer could make a great case out of the fact that President Obama was tapping my phones in October, just prior to Election!",118,133,President Obama,negative
29,allsides_1299_521_40_Obama_118_133,"— Donald J. Trump (@realDonaldTrump) March 4, 2017 I'd bet a good lawyer could make a great case out of the fact that President Obama was tapping my phones in October, just prior to Election!",0,36,— Donald J. Trump (@realDonaldTrump),neutral
30,allsides_1299_521_4_former president Barack Obama_201_206,"Trump offered no citations nor did he point to any credible news report to back up his accusation, but he may have been referring to commentary on Breitbart and conservative talk radio suggesting that Obama and his administration used “police state” tactics last fall to monitor the Trump team.",0,5,Trump,negative
31,allsides_1299_521_4_former president Barack Obama_201_206,"Trump offered no citations nor did he point to any credible news report to back up his accusation, but he may have been referring to commentary on Breitbart and conservative talk radio suggesting that Obama and his administration used “police state” tactics last fall to monitor the Trump team.",201,206,Obama,negative
32,allsides_1370_550_24_Joe Manchin_39_50,"The one Democrat to vote for Sessions, Joe Manchin of West Virginia, explained his decision to reporters after the vote.",29,37,Sessions,neutral
33,allsides_1370_550_24_Joe Manchin_39_50,"The one Democrat to vote for Sessions, Joe Manchin of West Virginia, explained his decision to reporters after the vote.",39,50,Joe Manchin,neutral
34,allsides_1370_550_28_Joe Manchin_30_33,Sessions’ confirmation leaves his Senate seat vacant.,0,8,Sessions,neutral
35,allsides_1370_550_28_Joe Manchin_30_33,Sessions’ confirmation leaves his Senate seat vacant.,30,33,his,neutral
36,allsides_1374_552_42_Betsy DeVos_23_28,"But to the extent that DeVos—and Trump, too, who has been outspoken on the need for more school choice—are in favor of giving more students and more parents more choices when it comes educating their kids, they are on the side of the angels.",33,38,Trump,positive
37,allsides_1374_552_42_Betsy DeVos_23_28,"But to the extent that DeVos—and Trump, too, who has been outspoken on the need for more school choice—are in favor of giving more students and more parents more choices when it comes educating their kids, they are on the side of the angels.",23,28,DeVos,positive
38,allsides_1381_555_6_UC Berkeley Chancellor Nicholas Dirks_14_51,"But actually, UC Berkeley Chancellor Nicholas Dirks had steadfastly defended the right of the Republicans to invite Yiannopoulos to speak, rejecting a request by a group of professors that the Breitbart News writer's appearance be canceled because he engaged in ""hate speech"" and, based on his appearance at another university, might harass or belittle individual students.",14,51,UC Berkeley Chancellor Nicholas Dirks,positive
39,allsides_1381_555_6_UC Berkeley Chancellor Nicholas Dirks_14_51,"But actually, UC Berkeley Chancellor Nicholas Dirks had steadfastly defended the right of the Republicans to invite Yiannopoulos to speak, rejecting a request by a group of professors that the Breitbart News writer's appearance be canceled because he engaged in ""hate speech"" and, based on his appearance at another university, might harass or belittle individual students.",116,128,Yiannopoulos,negative
40,allsides_1401_563_12_Yates_49_54,"For inexplicable reasons, the new president left Yates in place to run the Justice Department in anticipation of the confirmation of Senator Jeff Sessions.",49,54,Yates,negative
41,allsides_1401_563_12_Yates_49_54,"For inexplicable reasons, the new president left Yates in place to run the Justice Department in anticipation of the confirmation of Senator Jeff Sessions.",133,154,Senator Jeff Sessions,neutral
42,allsides_1460_588_10_President-elect Donald Trump_62_90,"Tillerson also wouldn't bite when Rubio, a former opponent of President-elect Donald Trump during the Republican presidential primary, tried to get Tillerson to say Putin murdered political foes.",165,170,Putin,negative
43,allsides_1460_588_10_President-elect Donald Trump_62_90,"Tillerson also wouldn't bite when Rubio, a former opponent of President-elect Donald Trump during the Republican presidential primary, tried to get Tillerson to say Putin murdered political foes.",62,90,President-elect Donald Trump,neutral
44,allsides_1494_602_2_Putin_349_363,"Lauren Gambino and  Ben Jacobs in Washington Sat 31 Dec 2016 00.39 GMT First published on Fri 30 Dec 2016 18.41 GMT After the Obama administration’s tough new sanctions against Russia put the president-elect in a vulnerable political position at home, in his own party and abroad, Donald Trump chose to respond in familiar fashion – with praise for Vladimir Putin.",349,363,Vladimir Putin,negative
45,allsides_1494_602_2_Putin_349_363,"Lauren Gambino and  Ben Jacobs in Washington Sat 31 Dec 2016 00.39 GMT First published on Fri 30 Dec 2016 18.41 GMT After the Obama administration’s tough new sanctions against Russia put the president-elect in a vulnerable political position at home, in his own party and abroad, Donald Trump chose to respond in familiar fashion – with praise for Vladimir Putin.",288,293,Trump,negative
46,allsides_1494_602_2_Putin_349_363,"Lauren Gambino and  Ben Jacobs in Washington Sat 31 Dec 2016 00.39 GMT First published on Fri 30 Dec 2016 18.41 GMT After the Obama administration’s tough new sanctions against Russia put the president-elect in a vulnerable political position at home, in his own party and abroad, Donald Trump chose to respond in familiar fashion – with praise for Vladimir Putin.",126,131,Obama,positive
47,allsides_1561_630_7_retired Marine General John Kelly_3_5,"As he considers who to surround himself with, Trump is calling on President Obama for counsel.",3,5,he,neutral
48,allsides_1561_630_7_retired Marine General John Kelly_3_5,"As he considers who to surround himself with, Trump is calling on President Obama for counsel.",66,81,President Obama,positive
49,allsides_1616_652_5_President-elect Donald Trump_13_15,"In doing so, he adds some diversity to his cabinet (Haley is his first female addition to his senior leadership) and also throws a bone to establishment conservatives by adding one of their favorites.",13,15,he,positive
