index,id,sentence,from,to,aspect,polarity
0,813,"All the appetizers and salads were fabulous, the steak was mouth watering and the pasta was delicious!!!",8,18,appetizers,positive
1,813,"All the appetizers and salads were fabulous, the steak was mouth watering and the pasta was delicious!!!",23,29,salads,positive
2,813,"All the appetizers and salads were fabulous, the steak was mouth watering and the pasta was delicious!!!",49,54,steak,positive
3,813,"All the appetizers and salads were fabulous, the steak was mouth watering and the pasta was delicious!!!",82,87,pasta,positive
4,1579,And really large portions.,17,25,portions,positive
5,2882,The sweet lassi was excellent as was the lamb chettinad and the garlic naan but the rasamalai was forgettable.,4,15,sweet lassi,positive
6,2882,The sweet lassi was excellent as was the lamb chettinad and the garlic naan but the rasamalai was forgettable.,41,55,lamb chettinad,positive
7,2882,The sweet lassi was excellent as was the lamb chettinad and the garlic naan but the rasamalai was forgettable.,64,75,garlic naan,positive
8,2882,The sweet lassi was excellent as was the lamb chettinad and the garlic naan but the rasamalai was forgettable.,84,93,rasamalai,negative
9,1609,Service was quick.,0,7,Service,positive
10,3018,"Oh, don't even let me start with how expensive the bills were!",51,56,bills,negative
11,3292,Service is top notch.,0,7,Service,positive
12,2041,The best thing I tasted were the lambc hops.,33,43,lambc hops,positive
13,3440,"Even though its good seafood, the prices are too high.",21,28,seafood,positive
14,3440,"Even though its good seafood, the prices are too high.",34,40,prices,negative
15,870,"In addition, the food is very good and the prices are reasonable.",17,21,food,positive
16,870,"In addition, the food is very good and the prices are reasonable.",43,49,prices,positive
17,2507,The food is great and authentic.,4,8,food,positive
18,3081,"I recommend the garlic shrimp, okra (bindi), and anything with lamb.",16,29,garlic shrimp,positive
19,3081,"I recommend the garlic shrimp, okra (bindi), and anything with lamb.",31,43,okra (bindi),positive
20,3081,"I recommend the garlic shrimp, okra (bindi), and anything with lamb.",63,67,lamb,positive
21,1884,"The menu was impressive with selections ranging from a burger, to steak, to escargot.",4,8,menu,positive
22,1884,"The menu was impressive with selections ranging from a burger, to steak, to escargot.",55,61,burger,neutral
23,1884,"The menu was impressive with selections ranging from a burger, to steak, to escargot.",66,71,steak,neutral
24,1884,"The menu was impressive with selections ranging from a burger, to steak, to escargot.",76,84,escargot,neutral
25,2077,very good breads as well.,10,16,breads,positive
26,201,"Anyway, the food is good, the price is right and they have a decent wine list.",12,16,food,positive
27,201,"Anyway, the food is good, the price is right and they have a decent wine list.",30,35,price,positive
28,201,"Anyway, the food is good, the price is right and they have a decent wine list.",68,77,wine list,positive
29,3049,The food was lousy -too sweet or too salty and the portions tiny.,4,8,food,negative
