index,id,sentence,from,to,aspect,polarity
0,2128,I liked the aluminum body.,12,25,aluminum body,positive
1,81,Lightweight and the screen is beautiful!,20,26,screen,positive
2,353,"From the build quality to the performance, everything about it has been sub-par from what I would have expected from Apple.",9,22,build quality,negative
3,353,"From the build quality to the performance, everything about it has been sub-par from what I would have expected from Apple.",30,41,performance,negative
4,655,It was truly a great computer costing less than one thousand bucks before tax.,30,37,costing,positive
5,2443,Boots up fast and runs great!,0,8,Boots up,positive
6,2443,Boots up fast and runs great!,18,22,runs,positive
7,764,"Call tech support, standard email the form and fax it back in to us.",5,17,tech support,neutral
8,1479,The service I received from Toshiba went above and beyond the call of duty.,4,11,service,positive
9,2937,I would recommend it just because of the internet speed probably because thats the only thing i really care about.,41,55,internet speed,positive
10,2077,The screen shows great colors.,4,10,screen,positive
11,2756,"The battery life has not decreased since I bought it, so i'm thrilled with that.",4,16,battery life,positive
12,2863,The price and features more than met my needs.,4,9,price,positive
13,2863,The price and features more than met my needs.,14,22,features,positive
14,1393,the mouse buttons are hard to push.,4,17,mouse buttons,negative
15,36,This is the complete opposite to an ergonomic design.,46,52,design,negative
16,990,The technical service for dell is so 3rd world it might as well not even bother.,4,21,technical service,negative
17,2275,The built in camera is very useful when chatting with other techs in remote buildings on our campus.,4,19,built in camera,positive
18,214,Keyboard good sized and wasy to use.,0,8,Keyboard,positive
19,2777,Great wifi too.,6,10,wifi,positive
20,1733,Games being the main issue.,0,5,Games,negative
21,3064,The price is another driving influence that made me purchase this laptop.,4,9,price,positive
22,1646,But see the macbook pro is different because it may have a huge price tag but it comes with the full software that you would actually need and most of it has free future updates.,64,73,price tag,negative
23,1646,But see the macbook pro is different because it may have a huge price tag but it comes with the full software that you would actually need and most of it has free future updates.,101,109,software,positive
24,1646,But see the macbook pro is different because it may have a huge price tag but it comes with the full software that you would actually need and most of it has free future updates.,170,177,updates,positive
25,2988,It's a great product for a great price!,33,38,price,positive
26,2828,Excellent speed for processing data.,10,15,speed,positive
27,1776,"The Macbook arrived in a nice twin packing and sealed in the box, all the functions works great.",30,42,twin packing,positive
28,1776,"The Macbook arrived in a nice twin packing and sealed in the box, all the functions works great.",74,83,functions,positive
29,2626,The switchable graphic card is pretty sweet when you want gaming on the laptop.,4,27,switchable graphic card,positive
30,2626,The switchable graphic card is pretty sweet when you want gaming on the laptop.,58,64,gaming,neutral
31,2967,I would like at least a 4 hr. battery life.,30,42,battery life,neutral
32,2993,It has good speed and plenty of hard drive space.,12,17,speed,positive
33,2993,It has good speed and plenty of hard drive space.,32,48,hard drive space,positive
34,1037,"The driver updates don't fix the issue, very frustrating.",4,18,driver updates,negative
35,2451,Im glad that it has such great features in it.,31,39,features,positive
36,2871,I always have used a tower home PC and jumped to the laptop and have been very satisfied with its performance.,98,109,performance,positive
37,1532,My sister has the same Mac as me and she is in a band and uses GarageBand to record and edit.,63,73,GarageBand,neutral
38,2238,and looks very sexyy:D really the mac book pro is the best laptop specially for students in college if you are not caring about price.,128,133,price,negative
39,2785,"Also, the extended warranty was a problem.",10,27,extended warranty,negative
40,832,"My opinion of Sony has been dropping as fast as the stock market, given their horrible support, but this machine just caused another plunge.",87,94,support,negative
41,2130,I also liked the glass screen.,17,29,glass screen,positive
42,1446,"When I called Toshiba, they would not do anything and even tried to charge me $35 for the phone call, even though they didn't offer any technical support.",136,153,technical support,negative
43,3047,"(Beware, their staff could send you back making you feel that only they know what a computer is.",15,20,staff,negative
44,1732,The only thing that I don't like about my mac is that sometimes there are programs that I want to be able to run and I am not able to.,74,82,programs,negative
45,1063,"Wireless has not been a issue for me, like some others have meantioned.",0,8,Wireless,positive
46,271,"MacBook Notebooks quickly die out because of their short battery life, as well as the many background programs that run without the user's knowlede.",57,69,battery life,negative
47,271,"MacBook Notebooks quickly die out because of their short battery life, as well as the many background programs that run without the user's knowlede.",91,110,background programs,negative
48,1674,All for such a great price.,21,26,price,positive
0,2339,I charge it at night and skip taking the cord with me because of the good battery life.,41,45,cord,neutral
1,2339,I charge it at night and skip taking the cord with me because of the good battery life.,74,86,battery life,positive
2,1316,"The tech guy then said the service center does not do 1-to-1 exchange and I have to direct my concern to the ""sales"" team, which is the retail shop which I bought my netbook from.",27,41,service center,negative
3,1316,"The tech guy then said the service center does not do 1-to-1 exchange and I have to direct my concern to the ""sales"" team, which is the retail shop which I bought my netbook from.",109,121,"""sales"" team",negative
4,1316,"The tech guy then said the service center does not do 1-to-1 exchange and I have to direct my concern to the ""sales"" team, which is the retail shop which I bought my netbook from.",4,12,tech guy,neutral
5,2005,"it is of high quality, has a killer GUI, is extremely stable, is highly expandable, is bundled with lots of very good applications, is easy to use, and is absolutely gorgeous.",14,21,quality,positive
6,2005,"it is of high quality, has a killer GUI, is extremely stable, is highly expandable, is bundled with lots of very good applications, is easy to use, and is absolutely gorgeous.",36,39,GUI,positive
7,2005,"it is of high quality, has a killer GUI, is extremely stable, is highly expandable, is bundled with lots of very good applications, is easy to use, and is absolutely gorgeous.",118,130,applications,positive
8,2005,"it is of high quality, has a killer GUI, is extremely stable, is highly expandable, is bundled with lots of very good applications, is easy to use, and is absolutely gorgeous.",143,146,use,positive
9,2789,Easy to start up and does not overheat as much as other laptops.,8,16,start up,positive
10,76,"I even got my teenage son one, because of the features that it offers, like, iChat, Photobooth, garage band and more!",46,54,features,positive
11,76,"I even got my teenage son one, because of the features that it offers, like, iChat, Photobooth, garage band and more!",77,82,iChat,positive
12,76,"I even got my teenage son one, because of the features that it offers, like, iChat, Photobooth, garage band and more!",84,94,Photobooth,positive
13,76,"I even got my teenage son one, because of the features that it offers, like, iChat, Photobooth, garage band and more!",96,107,garage band,positive
14,80,Great laptop that offers many great features!,36,44,features,positive
15,917," One night I turned the freaking thing off after using it, the next day I turn it on, no GUI, screen all dark, power light steady, hard drive light steady and not flashing as it usually does.",89,92,GUI,negative
16,917," One night I turned the freaking thing off after using it, the next day I turn it on, no GUI, screen all dark, power light steady, hard drive light steady and not flashing as it usually does.",94,100,screen,negative
17,917," One night I turned the freaking thing off after using it, the next day I turn it on, no GUI, screen all dark, power light steady, hard drive light steady and not flashing as it usually does.",111,122,power light,neutral
18,917," One night I turned the freaking thing off after using it, the next day I turn it on, no GUI, screen all dark, power light steady, hard drive light steady and not flashing as it usually does.",131,147,hard drive light,negative
19,1630,I took it back for an Asus and same thing- blue screen which required me to remove the battery to reset.,87,94,battery,neutral
20,38,"In the shop, these MacBooks are encased in a soft rubber enclosure - so you will never know about the razor edge until you buy it, get it home, break the seal and use it (very clever con).",50,66,rubber enclosure,positive
21,38,"In the shop, these MacBooks are encased in a soft rubber enclosure - so you will never know about the razor edge until you buy it, get it home, break the seal and use it (very clever con).",108,112,edge,negative
22,337,"However, the multi-touch gestures and large tracking area make having an external mouse unnecessary (unless you're gaming).",13,33,multi-touch gestures,positive
23,337,"However, the multi-touch gestures and large tracking area make having an external mouse unnecessary (unless you're gaming).",44,57,tracking area,positive
24,337,"However, the multi-touch gestures and large tracking area make having an external mouse unnecessary (unless you're gaming).",73,87,external mouse,neutral
25,337,"However, the multi-touch gestures and large tracking area make having an external mouse unnecessary (unless you're gaming).",115,121,gaming,neutral
26,2568,I love the way the entire suite of software works together.,26,43,suite of software,positive
27,295,The speed is incredible and I am more than satisfied.,4,9,speed,positive
28,2759,This laptop meets every expectation and Windows 7 is great!,40,49,Windows 7,positive
29,2980,I can barely use any usb devices because they will not stay connected properly.,21,32,usb devices,negative
30,1054,"-No backlit keyboard, but not an issue for me.",12,20,keyboard,conflict
31,743,When I finally had everything running with all my software installed I plugged in my droid to recharge and the system crashed.,50,58,software,neutral
32,743,When I finally had everything running with all my software installed I plugged in my droid to recharge and the system crashed.,111,117,system,negative
33,2587,"One suggestion I do have, is to not bother getting Microsoft office for the mac expecting it will work just like you knew it to on a PC.",51,79,Microsoft office for the mac,negative
34,2202,Pairing it with an iPhone is a pure pleasure - talk about painless syncing - used to take me forever - now it's a snap.,67,74,syncing,positive
35,2227,"I also got the added bonus of a 30"" HD Monitor, which really helps to extend my screen and keep my eyes fresh!",32,46,"30"" HD Monitor",positive
36,2227,"I also got the added bonus of a 30"" HD Monitor, which really helps to extend my screen and keep my eyes fresh!",80,86,screen,neutral
37,92,The machine is slow to boot up and occasionally crashes completely.,23,30,boot up,negative
38,1204,"After paying several hundred dollars for this service, it is frustrating that you cannot get help after hours.",46,53,service,negative
39,325,"I did have to replace the battery once, but that was only a couple months ago and it's been working perfect ever since.",26,33,battery,conflict
40,1574,I love the operating system and the preloaded software.,11,27,operating system,positive
41,1574,I love the operating system and the preloaded software.,36,54,preloaded software,positive
42,3073,The best thing about this laptop is the price along with some of the newer features.,40,45,price,positive
43,3073,The best thing about this laptop is the price along with some of the newer features.,75,83,features,positive
44,1254,"After numerous attempts of trying (including setting the clock in BIOS setup directly), I gave up(I am a techie).",57,76,clock in BIOS setup,negative
45,810,YOU WILL NOT BE ABLE TO TALK TO AN AMERICAN WARRANTY SERVICE IS OUT OF COUNTRY.,44,60,WARRANTY SERVICE,negative
46,130,but now i have realized its a problem with this brand.,48,53,brand,negative
47,839,I sent it back to Toshiba twice they covered it under the  warranty.,59,67,warranty,positive
48,696,I was looking for a mac which is portable and has all the features that I was looking for.,58,66,features,positive
49,1030,Also kinda loud when the fan was running.,25,28,fan,negative
50,1425,"In desparation, I called their Customer Service number and was told that my warranty had expired (2 days old) and that the priviledge of talking to a technician would cost me (""have your credit card ready"").",31,54,Customer Service number,neutral
51,1425,"In desparation, I called their Customer Service number and was told that my warranty had expired (2 days old) and that the priviledge of talking to a technician would cost me (""have your credit card ready"").",76,84,warranty,negative
52,1425,"In desparation, I called their Customer Service number and was told that my warranty had expired (2 days old) and that the priviledge of talking to a technician would cost me (""have your credit card ready"").",137,160,talking to a technician,negative
53,661,There also seemed to be a problem with the hard disc as certain times windows loads but claims to not be able to find any drivers or files.,43,52,hard disc,negative
54,661,There also seemed to be a problem with the hard disc as certain times windows loads but claims to not be able to find any drivers or files.,70,77,windows,negative
55,661,There also seemed to be a problem with the hard disc as certain times windows loads but claims to not be able to find any drivers or files.,122,129,drivers,neutral
56,997,Drivers updated ok but the BIOS update froze the system up and the computer shut down.,0,7,Drivers,positive
57,997,Drivers updated ok but the BIOS update froze the system up and the computer shut down.,27,38,BIOS update,negative
58,997,Drivers updated ok but the BIOS update froze the system up and the computer shut down.,49,55,system,negative
59,463,Spent 2 hours on phone with HP Technical Support.,28,48,HP Technical Support,neutral
60,1193,"Speaking of the browser, it too has problems.",16,23,browser,negative
61,147,The keyboard is too slick.,4,12,keyboard,negative
